Topic	Address	Src	Date
جای زغال سنگ در سبد انرژی کشوراصلا خالی نیست/ سیاست متضاد توانیر در توسعه تجدیدپذیر‌ها	/fa/news/56225/جای-زغال-سنگ-در-سبد-انرژی-کشوراصلا-خالی-نیست-سیاست-متضاد-توانیر-در-توسعه-تجدیدپذیر‌ها	/files/fa/news/1402/9/20/144950_766.jpg	1402/09/15
پیگیری پرداخت مطالبات صنعت برق کشور تا پایان سال جاری	/fa/news/56264/پیگیری-پرداخت-مطالبات-صنعت-برق-کشور-تا-پایان-سال-جاری	/files/fa/news/1402/9/20/144933_406.jpg	1402/09/19
اصلاح استاندارد انرژی وسایل برقی تا پایان ۱۴۰۳	/fa/news/56260/اصلاح-استاندارد-انرژی-وسایل-برقی-تا-پایان-۱۴۰۳	/files/fa/news/1402/9/20/144928_228.jpg	1402/09/19
نشست مشترک معاونان مالی و پشتیبانی شرکت‌های توزیع برق	/fa/news/56263/نشست-مشترک-معاونان-مالی-و-پشتیبانی-شرکت‌های-توزیع-برق	/files/fa/news/1402/9/20/144908_785.jpg	1402/09/19
استوری‌های برق نیوز/ دستاوردسازی از ویژگیهای بارز رفقای محرابیان، نیروگاه‌ها مقصر مازوت سوزی نیستند، انتصاب مشاور وزیر نیرو در امور ایثارگران	/fa/news/56251/استوری‌های-برق-نیوز-دستاوردسازی-از-ویژگیهای-بارز-رفقای-محرابیان-نیروگاه‌ها-مقصر-مازوت-سوزی-نیستند-انتصاب-مشاور-وزیر-نیرو-در-امور-ایثارگران	/files/fa/news/1402/9/19/144886_212.png	1402/09/19
استوری‌های برق نیوز/توهم مدیریت بی نقص مهمترین مشکل وزارت نیروی دولت سیزدهم، کارکرد انتخاباتی حرف‌های این روز‌های نمایندگان مجلس، اختلاف فاحش حقوق مزایای نیرو‌های رسمی و شرکتی	/fa/news/56253/استوری‌های-برق-نیوزتوهم-مدیریت-بی-نقص-مهمترین-مشکل-وزارت-نیروی-دولت-سیزدهم-کارکرد-انتخاباتی-حرف‌های-این-روز‌های-نمایندگان-مجلس-اختلاف-فاحش-حقوق-مزایای-نیرو‌های-رسمی-و-شرکتی	/files/fa/news/1402/9/19/144880_629.png	1402/09/19
استوری‌های برق نیوز/سرعت تغییر قوانین ساتبا بیشتر از سرعت احداث تجدیدپذیرها، اشتباه بودن طرح توسعه نیروگاه‌های فرسوده، اختلال فعالیت شرکت تولید برق غرب و تولید شهید مفتح به دلیل نبود سرپرست	/fa/news/56252/استوری‌های-برق-نیوزسرعت-تغییر-قوانین-ساتبا-بیشتر-از-سرعت-احداث-تجدیدپذیرها-اشتباه-بودن-طرح-توسعه-نیروگاه‌های-فرسوده-اختلال-فعالیت-شرکت-تولید-برق-غرب-و-تولید-شهید-مفتح-به-دلیل-نبود-سرپرست	/files/fa/news/1402/9/19/144879_398.png	1402/09/19
افتتاح سیزدهمین کنفرانس هوشمندسازی شبکه‌های برق/ هوشمندسازی شبکه به هوشمندسازی خاموشی‌ها محدود شده	/fa/news/56204/افتتاح-سیزدهمین-کنفرانس-هوشمندسازی-شبکه‌های-برق-هوشمندسازی-شبکه-به-هوشمندسازی-خاموشی‌ها-محدود-شده	/files/fa/news/1402/9/19/144852_840.jpg	1402/09/14
افزایش ظرفیت تجدیدپذیر‌ها جبران‌کننده مصرف سوخت مایع نیروگاه‌ها	/fa/news/56246/افزایش-ظرفیت-تجدیدپذیر‌ها-جبران‌کننده-مصرف-سوخت-مایع-نیروگاه‌ها	/files/fa/news/1402/9/19/144842_725.jpg	1402/09/18
ضرورت تعریف پست سازمانی برای مشاوران زنان و خانواده	/fa/news/56245/ضرورت-تعریف-پست-سازمانی-برای-مشاوران-زنان-و-خانواده	/files/fa/news/1402/9/19/144836_366.jpg	1402/09/18
آخرین وضعیت ثبت نام مشترکان پرمصرف برق خانگی در سامانه املاک و اسکان	/fa/news/56234/آخرین-وضعیت-ثبت-نام-مشترکان-پرمصرف-برق-خانگی-در-سامانه-املاک-و-اسکان	/files/fa/news/1402/9/19/144827_433.jpg	1402/09/18
رونمایی از الکتروموتور‌های پربازده مغناطیس دائم با حضور وزیر نیرو	/fa/news/56232/رونمایی-از-الکتروموتور‌های-پربازده-مغناطیس-دائم-با-حضور-وزیر-نیرو	/files/fa/news/1402/9/18/144819_374.jpg	1402/09/16
سامانه رصد بخش توزیع با هوش مصنوعی راه اندازی می‌شود	/fa/news/56229/سامانه-رصد-بخش-توزیع-با-هوش-مصنوعی-راه-اندازی-می‌شود	/files/fa/news/1402/9/18/144815_506.jpg	1402/09/16
ضرورت به‌روزرسانی تجهیزات استان‌ها در بخش مدیریت بحران	/fa/news/56228/ضرورت-به‌روزرسانی-تجهیزات-استان‌ها-در-بخش-مدیریت-بحران	/files/fa/news/1402/9/18/144775_578.jpg	1402/09/15
منابع انسانی از معاونت‌های بنیادی و زیرساختی در یک سازمان	/fa/news/56227/منابع-انسانی-از-معاونت‌های-بنیادی-و-زیرساختی-در-یک-سازمان	/files/fa/news/1402/9/16/144759_327.jpg	1402/09/15
موافقت مجلس با لایحه تسویه بخشی از بدهی دولت به شرکت توانیر	/fa/news/56201/موافقت-مجلس-با-لایحه-تسویه-بخشی-از-بدهی-دولت-به-شرکت-توانیر	/files/fa/news/1402/9/16/144752_431.jpg	1402/09/13
نوسازی شبکه برق منطقه‌ای تهران در دستور کار است	/fa/news/56218/نوسازی-شبکه-برق-منطقه‌ای-تهران-در-دستور-کار-است	/files/fa/news/1402/9/16/144747_897.png	1402/09/15
تسویه قریب الوقوع ۳۰ همت از بدهی‌های صنعت برق	/fa/news/56211/تسویه-قریب-الوقوع-۳۰-همت-از-بدهی‌های-صنعت-برق	/files/fa/news/1402/9/15/144739_469.jpg	1402/09/14
لزوم تقویت بدنه تخصصی مراکز کنترل دیسپاچینگ	/fa/news/56209/لزوم-تقویت-بدنه-تخصصی-مراکز-کنترل-دیسپاچینگ	/files/fa/news/1402/9/15/144736_463.jpg	1402/09/14
۸ هزار مگاوات افزایش ظرفیت برق محقق شد	/fa/news/56212/۸-هزار-مگاوات-افزایش-ظرفیت-برق-محقق-شد	/files/fa/news/1402/9/15/144729_662.jpg	1402/09/14
حمایت از صنایع استان تهران با استفاده از ظرفیت‌های ماده ۱۶ قانون جهت تولید دانش بنیان	/fa/news/56163/حمایت-از-صنایع-استان-تهران-با-استفاده-از-ظرفیت‌های-ماده-۱۶-قانون-جهت-تولید-دانش-بنیان	/files/fa/news/1402/9/15/144722_218.jpg	1402/09/11
فعال‌سازی مکانیزم رؤیت‌پذیری شبکه برای سال آتی	/fa/news/56195/فعال‌سازی-مکانیزم-رؤیت‌پذیری-شبکه-برای-سال-آتی	/files/fa/news/1402/9/14/144688_754.jpg	1402/09/13
استوری‌های برق نیوز/سمت جدید کارگرنجفی، بلاتکلیفی صنایع بین احداث نیروگاه و خرید برق از تابلو سبز، سفارش سیاسی تنها راه استخدام در وزارت نیرو، تبعیض در پرداخت حقوق	/fa/news/56197/استوری‌های-برق-نیوزسمت-جدید-کارگرنجفی-بلاتکلیفی-صنایع-بین-احداث-نیروگاه-و-خرید-برق-از-تابلو-سبز-سفارش-سیاسی-تنها-راه-استخدام-در-وزارت-نیرو-تبعیض-در-پرداخت-حقوق	/files/fa/news/1402/9/14/144682_824.png	1402/09/13
تامین منابع مالی از مباحث اصلی صنعت برق در ناترازی اقتصادی	/fa/news/56191/تامین-منابع-مالی-از-مباحث-اصلی-صنعت-برق-در-ناترازی-اقتصادی	/files/fa/news/1402/9/14/144678_548.jpg	1402/09/13
پنج هزار مگاوات تا رهایی از بحران	/fa/news/22050/پنج-هزار-مگاوات-تا-رهایی-از-بحران	/files/fa/news/1396/3/6/37496_662.jpg	1396/03/06
احداث پروژه 12.5 مگاواتی فتوولتائیک در نیکاراگوئه توسط شرکت یونانی	/fa/news/21994/احداث-پروژه-125-مگاواتی-فتوولتائیک-در-نیکاراگوئه-توسط-شرکت-یونانی	/files/fa/news/1396/3/3/37365_166.jpg	1396/03/03
ساخت ۱۰ نیروگاه برق هسته‌ای جدید در هند	/fa/news/21871/ساخت-۱۰-نیروگاه-برق-هسته‌ای-جدید-در-هند	/files/fa/news/1396/2/31/37018_224.jpg	1396/02/31
پروژه انرژی خورشیدی ۲ مگا واتی در اردن	/fa/news/21868/پروژه-انرژی-خورشیدی-۲-مگا-واتی-در-اردن	/files/fa/news/1396/2/30/36992_258.jpg	1396/02/30
از سرگیری فعالیت راکتور ۴ نیروگاه تاکاهاما در ژاپن	/fa/news/21822/از-سرگیری-فعالیت-راکتور-۴-نیروگاه-تاکاهاما-در-ژاپن	/files/fa/news/1396/2/27/36736_862.jpg	1396/02/27
کاهش ۲۵ درصدی ظرفیت انرژی هسته‌ای آمریکا تا ۲۰۵۰	/fa/news/21799/کاهش-۲۵-درصدی-ظرفیت-انرژی-هسته‌ای-آمریکا-تا-۲۰۵۰	/files/fa/news/1396/2/26/36674_611.jpg	1396/02/26
کاهش قیمت انرژی خورشیدی در هند	/fa/news/21775/کاهش-قیمت-انرژی-خورشیدی-در-هند	/files/fa/news/1396/2/26/36605_891.jpg	1396/02/26
وضعیت برق کابل به حالت سابق بازمی گردد	/fa/news/21760/وضعیت-برق-کابل-به-حالت-سابق-بازمی-گردد	/files/fa/news/1396/2/25/36544_377.jpg	1396/02/25
نقش کلیدی امارات در شکل دهی آینده برق هسته ای	/fa/news/21746/نقش-کلیدی-امارات-در-شکل-دهی-آینده-برق-هسته-ای	/files/fa/news/1396/2/24/36475_610.jpg	1396/02/24
قرارداد هسته ای آفریقای جنوبی با روسیه غیر قانونی شد	/fa/news/21714/قرارداد-هسته-ای-آفریقای-جنوبی-با-روسیه-غیر-قانونی-شد	/files/fa/news/1396/2/24/36388_593.jpg	1396/02/24
بی نیازی آلمان از منابع تجدیدناپذیر تا سال ۲۰۳۰	/fa/news/21708/بی-نیازی-آلمان-از-منابع-تجدیدناپذیر-تا-سال-۲۰۳۰	/files/fa/news/1396/2/23/36363_991.jpg	1396/02/23
ساخت نیروگاه هسته‌ای هینکلی پونیت انگلیس با مشارکت چین و فرانسه	/fa/news/21646/ساخت-نیروگاه-هسته‌ای-هینکلی-پونیت-انگلیس-با-مشارکت-چین-و-فرانسه	/files/fa/news/1396/2/20/36125_366.jpg	1396/02/20
شروع به کار مجدد نیروگاه تاکاهاما در ژاپن، موجب اعتراض مردم این کشور شد	/fa/news/21609/شروع-به-کار-مجدد-نیروگاه-تاکاهاما-در-ژاپن-موجب-اعتراض-مردم-این-کشور-شد	/files/fa/news/1396/2/19/35905_225.jpg	1396/02/19
تهدید توافق پاریس برای نیروگاه‌های برق اتحادیه اروپا	/fa/news/21595/تهدید-توافق-پاریس-برای-نیروگاه‌های-برق-اتحادیه-اروپا	/files/fa/news/1396/2/19/35801_453.jpg	1396/02/19
نیروگاه هسته‌ای براکه امارات متحده عربی	/fa/news/21553/نیروگاه-هسته‌ای-براکه-امارات-متحده-عربی	/files/fa/news/1396/2/17/35614_943.jpg	1396/02/17
تامین ۲۵ درصد برق امارات از طریق انرژی هسته‌ای تا سال ۲۰۲۰	/fa/news/21503/تامین-۲۵-درصد-برق-امارات-از-طریق-انرژی-هسته‌ای-تا-سال-۲۰۲۰	/files/fa/news/1396/2/14/35437_997.jpg	1396/02/14
انفجار مبدل برق در شهر تورنتو کانادا	/fa/news/21467/انفجار-مبدل-برق-در-شهر-تورنتو-کانادا	/files/fa/news/1396/2/12/35317_658.jpg	1396/02/12
چشم انداز تولید ۱۰ تراوات برق از طریق انرژی خورشید	/fa/news/21452/چشم-انداز-تولید-۱۰-تراوات-برق-از-طریق-انرژی-خورشید	/files/fa/news/1396/2/11/35292_840.jpg	1396/02/11
وابستگی اوکراین به برق هسته‌ای با وجود فاجعه بزرگ چرنوبیل	/fa/news/21447/وابستگی-اوکراین-به-برق-هسته‌ای-با-وجود-فاجعه-بزرگ-چرنوبیل	/files/fa/news/1396/2/11/35277_536.jpg	1396/02/11
روسیه تامین برق شرق اوکراین را به عهده گرفت	/fa/news/21369/روسیه-تامین-برق-شرق-اوکراین-را-به-عهده-گرفت	/files/fa/news/1396/2/6/35046_463.jpg	1396/02/06
نخستین روز بدون زغال سنگ پس از انقلاب صنعتی در بریتانیا	/fa/news/21338/نخستین-روز-بدون-زغال-سنگ-پس-از-انقلاب-صنعتی-در-بریتانیا	/files/fa/news/1396/2/3/34988_758.jpg	1396/02/03
برنامه ترکمنستان برای افزایش صادرات برق از مسیر ایران	/fa/news/21317/برنامه-ترکمنستان-برای-افزایش-صادرات-برق-از-مسیر-ایران	/files/fa/news/1396/2/2/34944_303.jpg	1396/02/02
جای زغال سنگ در سبد انرژی کشوراصلا خالی نیست/ سیاست متضاد توانیر در توسعه تجدیدپذیر‌ها	/fa/news/56225/جای-زغال-سنگ-در-سبد-انرژی-کشوراصلا-خالی-نیست-سیاست-متضاد-توانیر-در-توسعه-تجدیدپذیر‌ها	/files/fa/news/1402/9/20/144950_766.jpg	1402/09/15
پیگیری پرداخت مطالبات صنعت برق کشور تا پایان سال جاری	/fa/news/56264/پیگیری-پرداخت-مطالبات-صنعت-برق-کشور-تا-پایان-سال-جاری	/files/fa/news/1402/9/20/144933_406.jpg	1402/09/19
اصلاح استاندارد انرژی وسایل برقی تا پایان ۱۴۰۳	/fa/news/56260/اصلاح-استاندارد-انرژی-وسایل-برقی-تا-پایان-۱۴۰۳	/files/fa/news/1402/9/20/144928_228.jpg	1402/09/19
نشست مشترک معاونان مالی و پشتیبانی شرکت‌های توزیع برق	/fa/news/56263/نشست-مشترک-معاونان-مالی-و-پشتیبانی-شرکت‌های-توزیع-برق	/files/fa/news/1402/9/20/144908_785.jpg	1402/09/19
استوری‌های برق نیوز/ دستاوردسازی از ویژگیهای بارز رفقای محرابیان، نیروگاه‌ها مقصر مازوت سوزی نیستند، انتصاب مشاور وزیر نیرو در امور ایثارگران	/fa/news/56251/استوری‌های-برق-نیوز-دستاوردسازی-از-ویژگیهای-بارز-رفقای-محرابیان-نیروگاه‌ها-مقصر-مازوت-سوزی-نیستند-انتصاب-مشاور-وزیر-نیرو-در-امور-ایثارگران	/files/fa/news/1402/9/19/144886_212.png	1402/09/19
استوری‌های برق نیوز/توهم مدیریت بی نقص مهمترین مشکل وزارت نیروی دولت سیزدهم، کارکرد انتخاباتی حرف‌های این روز‌های نمایندگان مجلس، اختلاف فاحش حقوق مزایای نیرو‌های رسمی و شرکتی	/fa/news/56253/استوری‌های-برق-نیوزتوهم-مدیریت-بی-نقص-مهمترین-مشکل-وزارت-نیروی-دولت-سیزدهم-کارکرد-انتخاباتی-حرف‌های-این-روز‌های-نمایندگان-مجلس-اختلاف-فاحش-حقوق-مزایای-نیرو‌های-رسمی-و-شرکتی	/files/fa/news/1402/9/19/144880_629.png	1402/09/19
استوری‌های برق نیوز/سرعت تغییر قوانین ساتبا بیشتر از سرعت احداث تجدیدپذیرها، اشتباه بودن طرح توسعه نیروگاه‌های فرسوده، اختلال فعالیت شرکت تولید برق غرب و تولید شهید مفتح به دلیل نبود سرپرست	/fa/news/56252/استوری‌های-برق-نیوزسرعت-تغییر-قوانین-ساتبا-بیشتر-از-سرعت-احداث-تجدیدپذیرها-اشتباه-بودن-طرح-توسعه-نیروگاه‌های-فرسوده-اختلال-فعالیت-شرکت-تولید-برق-غرب-و-تولید-شهید-مفتح-به-دلیل-نبود-سرپرست	/files/fa/news/1402/9/19/144879_398.png	1402/09/19
افتتاح سیزدهمین کنفرانس هوشمندسازی شبکه‌های برق/ هوشمندسازی شبکه به هوشمندسازی خاموشی‌ها محدود شده	/fa/news/56204/افتتاح-سیزدهمین-کنفرانس-هوشمندسازی-شبکه‌های-برق-هوشمندسازی-شبکه-به-هوشمندسازی-خاموشی‌ها-محدود-شده	/files/fa/news/1402/9/19/144852_840.jpg	1402/09/14
افزایش ظرفیت تجدیدپذیر‌ها جبران‌کننده مصرف سوخت مایع نیروگاه‌ها	/fa/news/56246/افزایش-ظرفیت-تجدیدپذیر‌ها-جبران‌کننده-مصرف-سوخت-مایع-نیروگاه‌ها	/files/fa/news/1402/9/19/144842_725.jpg	1402/09/18
ضرورت تعریف پست سازمانی برای مشاوران زنان و خانواده	/fa/news/56245/ضرورت-تعریف-پست-سازمانی-برای-مشاوران-زنان-و-خانواده	/files/fa/news/1402/9/19/144836_366.jpg	1402/09/18
آخرین وضعیت ثبت نام مشترکان پرمصرف برق خانگی در سامانه املاک و اسکان	/fa/news/56234/آخرین-وضعیت-ثبت-نام-مشترکان-پرمصرف-برق-خانگی-در-سامانه-املاک-و-اسکان	/files/fa/news/1402/9/19/144827_433.jpg	1402/09/18
رونمایی از الکتروموتور‌های پربازده مغناطیس دائم با حضور وزیر نیرو	/fa/news/56232/رونمایی-از-الکتروموتور‌های-پربازده-مغناطیس-دائم-با-حضور-وزیر-نیرو	/files/fa/news/1402/9/18/144819_374.jpg	1402/09/16
سامانه رصد بخش توزیع با هوش مصنوعی راه اندازی می‌شود	/fa/news/56229/سامانه-رصد-بخش-توزیع-با-هوش-مصنوعی-راه-اندازی-می‌شود	/files/fa/news/1402/9/18/144815_506.jpg	1402/09/16
ضرورت به‌روزرسانی تجهیزات استان‌ها در بخش مدیریت بحران	/fa/news/56228/ضرورت-به‌روزرسانی-تجهیزات-استان‌ها-در-بخش-مدیریت-بحران	/files/fa/news/1402/9/18/144775_578.jpg	1402/09/15
منابع انسانی از معاونت‌های بنیادی و زیرساختی در یک سازمان	/fa/news/56227/منابع-انسانی-از-معاونت‌های-بنیادی-و-زیرساختی-در-یک-سازمان	/files/fa/news/1402/9/16/144759_327.jpg	1402/09/15
موافقت مجلس با لایحه تسویه بخشی از بدهی دولت به شرکت توانیر	/fa/news/56201/موافقت-مجلس-با-لایحه-تسویه-بخشی-از-بدهی-دولت-به-شرکت-توانیر	/files/fa/news/1402/9/16/144752_431.jpg	1402/09/13
نوسازی شبکه برق منطقه‌ای تهران در دستور کار است	/fa/news/56218/نوسازی-شبکه-برق-منطقه‌ای-تهران-در-دستور-کار-است	/files/fa/news/1402/9/16/144747_897.png	1402/09/15
تسویه قریب الوقوع ۳۰ همت از بدهی‌های صنعت برق	/fa/news/56211/تسویه-قریب-الوقوع-۳۰-همت-از-بدهی‌های-صنعت-برق	/files/fa/news/1402/9/15/144739_469.jpg	1402/09/14
لزوم تقویت بدنه تخصصی مراکز کنترل دیسپاچینگ	/fa/news/56209/لزوم-تقویت-بدنه-تخصصی-مراکز-کنترل-دیسپاچینگ	/files/fa/news/1402/9/15/144736_463.jpg	1402/09/14
۸ هزار مگاوات افزایش ظرفیت برق محقق شد	/fa/news/56212/۸-هزار-مگاوات-افزایش-ظرفیت-برق-محقق-شد	/files/fa/news/1402/9/15/144729_662.jpg	1402/09/14
حمایت از صنایع استان تهران با استفاده از ظرفیت‌های ماده ۱۶ قانون جهت تولید دانش بنیان	/fa/news/56163/حمایت-از-صنایع-استان-تهران-با-استفاده-از-ظرفیت‌های-ماده-۱۶-قانون-جهت-تولید-دانش-بنیان	/files/fa/news/1402/9/15/144722_218.jpg	1402/09/11
فعال‌سازی مکانیزم رؤیت‌پذیری شبکه برای سال آتی	/fa/news/56195/فعال‌سازی-مکانیزم-رؤیت‌پذیری-شبکه-برای-سال-آتی	/files/fa/news/1402/9/14/144688_754.jpg	1402/09/13
استوری‌های برق نیوز/سمت جدید کارگرنجفی، بلاتکلیفی صنایع بین احداث نیروگاه و خرید برق از تابلو سبز، سفارش سیاسی تنها راه استخدام در وزارت نیرو، تبعیض در پرداخت حقوق	/fa/news/56197/استوری‌های-برق-نیوزسمت-جدید-کارگرنجفی-بلاتکلیفی-صنایع-بین-احداث-نیروگاه-و-خرید-برق-از-تابلو-سبز-سفارش-سیاسی-تنها-راه-استخدام-در-وزارت-نیرو-تبعیض-در-پرداخت-حقوق	/files/fa/news/1402/9/14/144682_824.png	1402/09/13
تامین منابع مالی از مباحث اصلی صنعت برق در ناترازی اقتصادی	/fa/news/56191/تامین-منابع-مالی-از-مباحث-اصلی-صنعت-برق-در-ناترازی-اقتصادی	/files/fa/news/1402/9/14/144678_548.jpg	1402/09/13
